Indicator Name	Indicator Code	Country Name	Country Code	2000	2010
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Mongolia	MNG	1.146062138	6.365161685
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Montenegro	MNE	3.1	2.5
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Morocco	MAR	1.592567672	3.677899798
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Mozambique	MOZ	1.090982	6.8
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Myanmar	MMR	13.74593056	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Namibia	NAM	3.488451785	6.600283375
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Nepal	NPL	6.2	4.81641465
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Netherlands	NLD	3.941036849	1.629205176
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	New Caledonia	NCL	2.100108842	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	New Zealand	NZL	2.620699119	0.184853645
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Nicaragua	NIC	4.101590156	3.140837062
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Niger	NER	-1.40950935	8
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Nigeria	NGA	5.399999999	7.976074958
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	North America	NAC	4.246478786	3.033582389
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Northern Mariana Islands	MNP		
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Norway	NOR	3.253547126	0.676520209
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	OECD members	OED	3.925718025	3.204092099
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Oman	OMN	5.401372725	4
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Pakistan	PAK	4.260088011	3.546805378
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Palau	PLW	0.3	0.3
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Panama	PAN	2.715373567	7.607839452
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Papua New Guinea	PNG	-2.494841729	8
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Paraguay	PRY	-3.345591297	14.24364667
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Peru	PER	2.950592944	8.784972819
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Philippines	PHL	4.411212508	7.632263915
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Poland	POL	4.259803391	3.898076992
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Portugal	PRT	3.915515774	1.400684109
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Puerto Rico	PRI	3.271956714	-2.072885907
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Qatar	QAT		16.6
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Romania	ROM	2.100001731	0.947891354
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Russian Federation	RUS	10	4.339933303
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Rwanda	RWA	8.318704949	7.218691998
